predictor,ImpCondPerm
dams_n,209.3919136590113
majordams_n,129.3678187326553
wuse_mm,317.0425440026835
irrig_prc,452.5538675672348
lulc_water_prc,141.3951644205359
lulc_dev_prc,308.8650432993773
lulc_wetland_prc,105.72616428348981
lulc_forest_prc,136.88747023643305
lulc_barren_prc,158.8650214878945
lulc_grass_prc,337.14871946707024
lulc_ag_prc,258.1428436815437
drain_sqkm,213.8100442984538
elev_mean_m_basin,129.7270715068103
slope_pct,217.0115982614551
awcave,283.2611200342952
permave,629.1602871759969
topwet,247.27822122358023
depth_bedrock_m,544.0359814504892
porosity,165.32425380359388
clayave,343.8155247671492
siltave,327.52111998920617
p_mm_ond,96.0745132567602
p_mm_jfm,6.911100795091352
pet_mm_cy,64.9254092038699
pet_mm_jas,60.47126120935809
pet_mm_ond,63.573320190156814
pet_mm_amj,47.38606168381555
T_max_c_cy,115.21598306328269
T_max_c_jas,87.14448123279145
swe_mm_cy,61.49563518867488
swe_mm_ond,0.5559064969689084
p.pet_cy,106.32668793507956
swe.p_cy,83.21601255210444
p.pet_jfm,29.760818449841217
swe.p_jfm,52.91650998778732
p.pet_amj,115.94774455889356
swe.p_amj,66.09553527315784
p.pet_jas,-5.690509591556292
p.pet_ond,120.98021461069331
swe.p_ond,24.673536554638627
p_mm_jas.previous,23.71624979042039
p_mm_ond.previous,160.2528804579124
p_mm_jfm.previous,308.95690299213726
p_mm_amj.previous,73.27806908032018
pet_mm_jas.previous,65.04688734777685
pet_mm_ond.previous,49.13668676043888
pet_mm_amj.previous,168.0543608835495
swe_mm_ond.previous,0.018739431818494266
swe_mm_jfm.previous,33.13428629488993
p.pet_cy.previous,642.0883802468021
swe.p_cy.previous,27.390154997712404
p.pet_jfm.previous,385.1976495944832
swe.p_jfm.previous,40.00634048578717
swe.p_amj.previous,93.07732179806506
p.pet_ond.previous,195.5077286617609
swe.p_ond.previous,-1.6452556904123075
